Desc Checklist;Check Id;Check Code;Desc Check
a.1.1 - Inventariado Acceso Móvil GIROS;5959;AIG1;Codificación y Creación de Emplazamientos según Normativa. 
a.1.1 - Inventariado Acceso Móvil GIROS;5960;AIG13;Creación de Vanos de Radio según normativa. 
a.1.1 - Inventariado Acceso Móvil GIROS;5961;AIG15;Creación de LLAA según normativa. 
a.1.1 - Inventariado Acceso Móvil GIROS;5962;AIG3;Creación de Salas/ Eliminación Salas sobrantes según normativa.  
a.1.1 - Inventariado Acceso Móvil GIROS;5963;AIG10;Creación de Repartidores  y cableado de las tarjetas a dichos repartidores según normativas.  
a.1.1 - Inventariado Acceso Móvil GIROS;5964;AIG11;Creación de Cables de Paso (Trunks entre repartidores) según normativa.
a.1.1 - Inventariado Acceso Móvil GIROS;5965;AIG12;Creación de los PLCs de FO según normativas. 
a.1.1 - Inventariado Acceso Móvil GIROS;5966;AIG2;Verificar que el Código de Despliegue está relleno y es correcto (vinculación GIROS-SEDRA)
a.1.1 - Inventariado Acceso Móvil GIROS;5967;AIG4;Creación y codificación de Equipos de Acceso Radio según normativa.
a.1.1 - Inventariado Acceso Móvil GIROS;5968;AIG5;Creación y codificación de Equipos de Transmisión según normativa.
a.1.1 - Inventariado Acceso Móvil GIROS;5969;AIG7;Creación de Subsistemas para Equipos de Transmisión según normativa.
a.1.1 - Inventariado Acceso Móvil GIROS;5970;AIG6;Creación de Subsistemas para Equipos Acceso Radio según normativa.
a.1.1 - Inventariado Acceso Móvil GIROS;5971;AIG8;Creación de Tarjetas para Equipos Acceso Radio según normativa  y diseño
a.1.1 - Inventariado Acceso Móvil GIROS;5972;AIG9;Creación de Tarjetas para Equipos de Transmisión según normativa  y diseño
a.1.1 - Inventariado Acceso Móvil GIROS;5973;AIG14;Asegurar que la pestaña de atributos (si existe) se corresponde con el diseño.
a.1.1 - Inventariado Acceso Móvil GIROS;5974;AIG16a;Creación de Trails físicos asociados a tarjetas/ repartidores y comprobación de que las protecciones estén creadas según normativa y diseño (CRÍTICO)
a.1.1 - Inventariado Acceso Móvil GIROS;5975;AIG17;Creación de Trails lógicos E2E VLAN por Tecnología según normativa.
a.1.1 - Inventariado Acceso Móvil GIROS;5978;AIG20;Creación de Grupos (GIMAS,ML-PPP, GigaBitEth, etc) y creación de protecciones según normativa y diseño
a.1.1 - Inventariado Acceso Móvil GIROS;5979;AIG21;Asociación/Desasociación de los Trails físicos dentro de los Grupos (GIMAS,ML-PPP, GigaBitEth, etc) según normativa
a.1.1 - Inventariado Acceso Móvil GIROS;5981;AIG23;Enrutado de los Túneles IP por los Trails físicos adecuados.
a.1.1 - Inventariado Acceso Móvil GIROS;5982;AIG24;Enrutado de los Trails lógicos E2E VLAN por los Trails físicos,GRUPOS ó Túneles correspondientes según normativa y diseño.
a.1.1 - Inventariado Acceso Móvil GIROS;5983;AIG25;Asociación de las Ips de gestión a los equipos
a.1.1 - Inventariado Acceso Móvil GIROS;5984;AIG26;Asociación de las Ips de Interfaz a los Trails, GRUPOS y Túneles.
a.1.1 - Inventariado Acceso Móvil GIROS;5985;AIG27;Verificar que la ruta de gestión para los nuevos equipos instalados cumple la normativa y diseño.
a.1.1 - Inventariado Acceso Móvil GIROS;5986;AIG28;Verificar que la ruta de sincronismo para los nuevos equipos instalados cumple la normativa y diseño.
a.1.1 - Inventariado Acceso Móvil GIROS;6112;AIG16b;Creación de Trails físicos asociados a tarjetas/ repartidores y comprobación de que las protecciones estén creadas según normativa y diseño (LEVE)
a.1.1 - Inventariado Acceso Móvil GIROS;6113;AIG29;Creación de Trails lógicos E2E IP
a.1.1 - Inventariado Acceso Móvil GIROS;6114;AIG30;Enrutado de los trails lógicos VLAN dentro del E2E IP
a.1.1 - Inventariado Acceso Móvil GIROS;6613;AIG22;Creación de los Túneles LSP y creación de las protecciones según normativa y diseño
a.1.1 - Inventariado Acceso Móvil GIROS;6907;AIG31;Creación de Grupos (GIMAS,ML-PPP, GigaBitEth, etc) y creación de protecciones según normativa y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6908;AIG32;Enrutado de los trails lógicos VLAN dentro del E2E IP (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6909;AIG33;Creación de los Túneles LSP y creación de las protecciones según normativa y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6917;AIG34;Creación de Trails lógicos E2E IP (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6918;AIG35;Creación de Tarjetas para Equipos de Transmisión según normativa  y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6919;AIG16c;Creación de Trails físicos asociados a tarjetas/ repartidores y comprobación de que las protecciones estén creadas según normativa y diseño (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6920;AIG36;Creación de Trails lógicos E2E VLAN por Tecnología según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6921;AIG37;Creación y codificación de Equipos de Transmisión según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6922;AIG38;Creación y codificación de Equipos de Acceso Radio según normativa. (GRAVE: no afecte al servicio o mantenimiento)
a.1.1 - Inventariado Acceso Móvil GIROS;6923;AIG39;Creación de Tarjetas para Equipos Acceso Radio según normativa  y diseño (GRAVE: no afecte al servicio o mantenimiento)
