TASk;Deployment Type;Project Type;Equipment Type/Subtype project;checklist;;;;
RTI - Inventariado;PPTT;Packet Microwave;Ampliacion capacidad RTN;a.1.1 - Inventariado Acceso Móvil GIROS;;;;
RTI - Inventariado;BAU Acceso Movil;Capacidad Radio;Ampliación Nodo;a.1.1 - Inventariado Acceso Móvil GIROS;;;;
RTI - Inventariado;BAU Acceso Movil;Capacidad Radio;MPR;a.1.1 - Inventariado Acceso Móvil GIROS;;;;
;;;;a.1.1.a - Inventariado Acceso Móvil GIROS (RTI1SF);;;;
;;;;a.1.1.b - Inventariado Acceso Móvil GIROS (RTI2DD);;;;
;;;;a.1.2.a - Inventariado Acceso Móvil SEDRA (RTI1SF);;;;
;;;;a.1.2.b - Inventariado Acceso Móvil SEDRA (RTI2DD);;;;
RTI - Inventariado;BAU Acceso Movil;DELTA;Ampliación Nodo;a.1.2 - Inventariado Acceso Móvil SEDRA;;;;
;;;;a.1.3 - Inventariado Acceso Móvil GIS /SEDRA;;;;
;;;;a.1.4 - Inventariado Acceso Móvil IQLINK;;;;
;;;;a.1.6 - Inventariado Acceso Móvil Entregables;;;;
;;;;a.1.7 - Inventariado Acceso Móvil-Core;;;;
RTI - Inventariado;Proyectos especiales;Inventario Servicios de Red voz y Datos - Core;Inventario Equipos;a.2 - Inventariado Core;;;;
RTI - Inventariado;BAU Resto capas;Core voz y datos;BBIP;a.2 - Inventariado Core;;;;
RTI - Inventariado;BAU Resto capas;Transporte;Ampliación/Eliminación de tarjetas;a.3 - Inventariado Transporte;;;;
RTI - Inventariado;BAU Resto capas;Agregación;Ampliaciones capacidad agregación;a.4 - Inventariado Acceso Fijo;;;;
;;;;a.5 - Checklist específico PNI / GIS NE;;;;
;;;;a.6 - Inventariado equipos sincronismo;;;;
RTI - Diseño técnico;BAU Acceso Movil;DELTA;Despliegue Nodo;b.1.1 - Diseño técnico Acceso Móvil Radio;;;;
RTI - Diseño técnico;BAU Acceso Movil;Capacidad Radio;Ampliación Nodo;b.1.1 - Diseño técnico Acceso Móvil Radio;;;;
;;;;b.1.1.a - Diseño técnico Acceso Móvil Radio (RTI1SF);;;;
;;;;b.1.1.b - Diseño técnico Acceso Móvil Radio (RTI2DD);;;;
RTI - Diseño técnico;PPTT;Packet Microwave;Ampliacion capacidad RTN;b.1.2 - Diseño técnico Acceso Móvil TX;;;;
RTI - Diseño técnico;PPTT;Packet Microwave;MPR;b.1.2 - Diseño técnico Acceso Móvil TX;;;;
;;;;b.2.2 - Diseño técnico Core voz;;;;
RTI - Diseño técnico;Proyectos especiales;Inventario Servicios de Red voz y Datos - Core;Inventario Equipos;b.2.3 - Diseño técnico Core datos;;;;
RTI - Diseño técnico;BAU Resto capas;Core voz y datos;BBIP;b.2.3 - Diseño técnico Core datos;;;;
RTI - Diseño técnico;BAU Resto capas;Transporte;Ampliación/Eliminación de tarjetas;b.3 - Diseño técnico TX LD;;;;
RTI - Diseño técnico;BAU Resto capas;Agregación;Ampliaciones capacidad agregación;b.4 - Diseño técnico Acceso Fijo;;;;
